sample_id	site_id	site_name	sample_date	ph	dissolved_oxygen_mgL	turbidity_ntu	coliform_cfu_per_100mL	arsenic_ugL	lead_ugL	copper_ugL	collector
WQ-2026-001	1	Picacho Reach upstream	2026-10-14	7.8	8.2	3.4	42	2.1	1.0	4.5	Ian Salazar
WQ-2026-002	2	Mesilla Diversion Dam	2026-10-14	7.9	8.1	5.2	58	2.8	1.4	7.2	Ian Salazar
WQ-2026-003	3	Las Cruces Wastewater outfall	2026-10-14	7.4	6.8	12.1	340	4.2	3.8	42.1	Ian Salazar
WQ-2026-004	4	La Mesa drain	2026-10-14	7.6	7.5	4.8	75	3.1	1.8	12.5	Ian Salazar
WQ-2026-005	5	Vado canal	2026-10-14	7.7	7.9	2.9	38	2.5	1.2	6.8	Ian Salazar
WQ-2026-006	6	Anthony NM agricultural drain	2026-10-14	7.5	7.2	8.3	120	3.5	2.1	18.4	Ian Salazar
WQ-2026-007	7	Sunland Park downstream	2026-10-28	7.6	7.4	6.1	95	3.8	2.4	15.2	Ian Salazar
WQ-2026-008	8	El Paso confluence	2026-10-28	7.4	6.9	9.4	185	4.5	3.2	28.7	Ian Salazar
WQ-2026-009	9	American Dam	2026-10-28	7.5	7.1	7.2	142	3.9	2.6	22.1	Ian Salazar
WQ-2026-010	10	Riverside drain	2026-10-28	7.6	7.3	5.5	88	3.2	1.9	14.6	Ian Salazar
WQ-2026-011	11	Old Mesilla bridge	2026-10-28	7.8	8.0	3.8	52	2.4	1.1	5.4	Ian Salazar
WQ-2026-012	12	Hatch upstream	2026-10-28	7.9	8.3	2.5	28	1.9	0.8	3.7	Ian Salazar
