Track	Artist	Album	Date Added	Duration
Soak Up the Sun	Sheryl Crow	C'mon, C'mon	2026-10-12	4:52
Don't Know Why	Norah Jones	Come Away With Me	2026-10-12	3:07
Dreams	Fleetwood Mac	Rumours	2026-10-12	4:14
The First Cut Is the Deepest	Sheryl Crow	The Very Best of Sheryl Crow	2026-10-15	3:45
Sunrise	Norah Jones	Feels Like Home	2026-10-15	3:21
Go Your Own Way	Fleetwood Mac	Rumours	2026-10-20	3:38
If It Makes You Happy	Sheryl Crow	Sheryl Crow	2026-10-20	5:23
Come Away With Me	Norah Jones	Come Away With Me	2026-11-02	3:18
Landslide	Fleetwood Mac	Fleetwood Mac	2026-11-02	3:19
Everyday Is a Winding Road	Sheryl Crow	Sheryl Crow	2026-11-15	4:17
