Name	SMC_Section	Height_m	Height_ft	Map_1to50k	Grid_Ref
Ben Chonzie	1	931	3054	51 52	NN773308
Ben Vorlich	1	985	3232	57	NN629189
Stuc a' Chroin	1	975	3199	57	NN617174
Ben Lomond	1	974	3196	56	NN367028
Ben More	1	1174	3852	51	NN432244
Stob Binnein	1	1165	3822	51	NN434227
Stob Binnein - Stob Coire an Lochain	1	1068	3504	51	NN438220
Stob Binnein - Creag a' Bhragit	1	923	3028	51	NN448224
Stob Binnein - Meall na Dige	1	966	3169	51	NN450225
Cruach Ardrain SW Top	1	1044.9	3428	51 56	NN408211
Cruach Ardrain	1	1045.9	3431	51 56	NN409212
Cruach Ardrain - Stob Garbh SE Top	1	923.4	3030	51 56	NN412217
Cruach Ardrain - Stob Garbh	1	957.7	3142	51	NN411221
An Caisteal	1	995.8	3267	50 56	NN378193
Beinn Tulaichean	1	945.8	3103	56	NN416196
Beinn a' Chroin	1	941.4	3089	50 56	NN387185
Beinn a' Chroin East Top [Beinn a' Chroin]	1	940.1	3084	50 56	NN393185
Beinn a' Chroin West Top	1	938	3077	50 56	NN385185
Beinn Chabhair	1	932.1	3058	50 56	NN367179
Ben Lui [Beinn Laoigh]	1	1130	3707	50	NN266262
Ben Lui NW Top	1	1127	3698	50	NN265264
Ben Oss	1	1029	3376	50	NN287253
Beinn Dubhchraig	1	978	3209	50	NN307254
Beinn a' Chleibh	1	916.3	3006	50	NN250256
Ben Vorlich	1	943	3094	50 56	NN295124
Ben Vorlich North Top	1	931	3054	50 56	NN294130
Beinn Ime	1	1011	3317	56	NN254084
Ben Vane	1	915.76	3004	56	NN277098
Beinn Narnain	1	927	3041	56	NN271066
Beinn an Lochain	1	901.7	2958	56	NN218078
Beinn Bhuidhe	1	948.5	3112	50 56	NN203187
Schiehallion	2	1083	3553	42 51 52	NN713547
Carn Mairg	2	1042	3419	42 51	NN684512
Carn Mairg - Meall Liath	2	1012	3320	42 51	NN692512
Carn Mairg - Meall a' Bharr	2	1004	3294	42 51	NN668515
Carn Gorm	2	1029	3376	42 51	NN635500
Meall Garbh (old GR)	2	963	3159	42 51	NN650515
Meall Garbh	2	968	3176	42 51	NN647516
Meall Garbh - Meall Luaidhe	2	919	3015	42 51	NN656509
Carn Gorm - An Sgorr	2	924	3031	42 51	NN640509
Meall na Aighean	2	981	3219	51	NN694496
Stuchd an Lochain [Stuc an Lochain]	2	960	3150	51	NN483448
Stuchd an Lochain - Sron Chona Choirein	2	927	3041	51	NN493445
Meall Buidhe	2	932.1	3058	51	NN498499
Meall Buidhe SE Top	2	917	3009	51	NN500489
Beinn Dorain	2	1076	3530	50	NN325378
Beinn an Dothaidh	2	1004	3294	50	NN331408
Beinn Achaladair	2	1038.5	3407	50	NN344432
Beinn Achaladair South Top	2	1003.6	3293	50	NN342420
