Country	Year	All_meat_production_tonnes
United Kingdom	1961	2201619
United Kingdom	1962	2289997
United Kingdom	1963	2326640
United Kingdom	1964	2331087
United Kingdom	1965	2381262
United Kingdom	1966	2446393
United Kingdom	1967	2456431
United Kingdom	1968	2530132
United Kingdom	1969	2544608
United Kingdom	1970	2681985
United Kingdom	1971	2744092
United Kingdom	1972	2775871
United Kingdom	1973	2741531
United Kingdom	1974	2964130
United Kingdom	1975	2928613
United Kingdom	1976	2859163
United Kingdom	1977	2884289
United Kingdom	1978	2874863
United Kingdom	1979	2976355
United Kingdom	1980	3070701
United Kingdom	1981	2983915
United Kingdom	1982	3007044
United Kingdom	1983	3134580
United Kingdom	1984	3212344.2
United Kingdom	1985	3340024.8
United Kingdom	1986	3288262.8
United Kingdom	1987	3419057.8
United Kingdom	1988	3344925.8
United Kingdom	1989	3269172
United Kingdom	1990	3318561
United Kingdom	1991	3432907
United Kingdom	1992	3621917
United Kingdom	1993	3620935.8
United Kingdom	1994	3779454.8
United Kingdom	1995	3829743.5
United Kingdom	1996	3560464
United Kingdom	1997	3652021.2
United Kingdom	1998	3765518
United Kingdom	1999	3649803
United Kingdom	2000	3511453.5
United Kingdom	2001	3264892.8
United Kingdom	2002	3341424.5
United Kingdom	2003	3297592.5
United Kingdom	2004	3313101.8
United Kingdom	2005	3393503.8
United Kingdom	2006	3403731.8
United Kingdom	2007	3419784.8
United Kingdom	2008	3373469.2
United Kingdom	2009	3336806.5
United Kingdom	2010	3534387
United Kingdom	2011	3613290.2
United Kingdom	2012	3605199.2
United Kingdom	2013	3642454.2
United Kingdom	2014	3697597.5
United Kingdom	2015	3832714
United Kingdom	2016	3943502.8
United Kingdom	2017	3959636
United Kingdom	2018	4090494.5
United Kingdom	2019	4122269.8
United Kingdom	2020	4217300
United Kingdom	2021	4225853
United Kingdom	2022	4253695.5
United Kingdom	2023	4107840
United Kingdom	2024	4171521.5
