Country	Year	Milk_production_tonnes
United Kingdom	1961	12004927
United Kingdom	1962	12304140
United Kingdom	1963	11941909
United Kingdom	1964	11684596
United Kingdom	1965	12119420
United Kingdom	1966	11973846
United Kingdom	1967	12341020
United Kingdom	1968	12630027
United Kingdom	1969	12746519
United Kingdom	1970	12971044
United Kingdom	1971	13304854
United Kingdom	1972	14170552
United Kingdom	1973	14402411
United Kingdom	1974	13993281
United Kingdom	1975	13933900
United Kingdom	1976	14418683
United Kingdom	1977	15200000
United Kingdom	1978	15903000
United Kingdom	1979	15913000
United Kingdom	1980	15974000
United Kingdom	1981	15865000
United Kingdom	1982	16759000
United Kingdom	1983	17261008
United Kingdom	1984	16225000
United Kingdom	1985	16022000
United Kingdom	1986	16234000
United Kingdom	1987	15508000
United Kingdom	1988	15133000
United Kingdom	1989	14913000
United Kingdom	1990	15251204
United Kingdom	1991	14762812
United Kingdom	1992	14776300
United Kingdom	1993	14828900
United Kingdom	1994	14990700
United Kingdom	1995	14844300
United Kingdom	1996	14808300
United Kingdom	1997	14841000
United Kingdom	1998	14632000
United Kingdom	1999	15014000
United Kingdom	2000	14488000
United Kingdom	2001	14707000
United Kingdom	2002	14869000
United Kingdom	2003	15010000
United Kingdom	2004	14555000
United Kingdom	2005	14473000
United Kingdom	2006	14316000
United Kingdom	2007	14023000
United Kingdom	2008	13719000
United Kingdom	2009	13852000
United Kingdom	2010	14071000
United Kingdom	2011	13849000
United Kingdom	2012	13843000
United Kingdom	2013	13935000
United Kingdom	2014	15050000
United Kingdom	2015	15324000
United Kingdom	2016	14662000
United Kingdom	2017	15267000
United Kingdom	2018	15311000
United Kingdom	2019	15671450
United Kingdom	2020	15685870
United Kingdom	2021	15890600
United Kingdom	2022	15757400
United Kingdom	2023	15759500
United Kingdom	2024	15939048
