id,type,place,address,saved_label,searched_at
1,search,Home,Home near Basics,Home,2021-01-02T08:00:00+05:30
2,saved,Grocery store,Grocery store near Basics,Grocery store,2021-07-01T09:07:00+05:30
3,search,Coffee shop,Coffee shop near Basics,Coffee shop,2021-12-28T10:14:00+05:30
4,saved,Clinic,Clinic near Basics,Clinic,2022-06-27T11:21:00+05:30
5,search,Library,Library near Basics,Library,2022-12-24T12:28:00+05:30
6,saved,Airport,Airport near Basics,Airport,2023-06-22T13:35:00+05:30
7,search,Community center,Community center near Basics,Community center,2023-12-20T14:42:00+05:30
8,saved,Park,Park near Basics,Park,2024-06-17T15:49:00+05:30
9,search,Restaurant,Restaurant near Basics,Restaurant,2024-12-14T16:56:00+05:30
10,saved,Office,Office near Basics,Office,2025-06-13T17:03:00+05:30
11,search,Home,Home near Basics,Home,2025-12-10T08:10:00+05:30
12,saved,Grocery store,Grocery store near Basics,Grocery store,2026-06-08T09:17:00+05:30
