id,account,merchant,category,amount,date
1,Primary Checking,Payroll,Income,2110.50,2021-01-01
2,Primary Checking,Mortgage/Rent,Expense,-1457.35,2021-01-02
3,Primary Checking,Grocery Market,Expense,-147.01,2021-01-03
4,Primary Checking,Utilities,Expense,-218.28,2021-01-04
5,Primary Checking,Mobile Phone,Expense,-82.42,2021-01-05
6,Primary Checking,Insurance,Expense,-164.78,2021-01-06
7,Primary Checking,Fuel,Expense,-55.13,2021-01-07
8,Primary Checking,Streaming,Expense,-20.14,2021-01-08
9,Primary Checking,Dining,Expense,-40.31,2021-01-09
10,Primary Checking,Savings Transfer,Expense,-247.37,2021-01-10
11,Primary Checking,Payroll,Income,2109.48,2021-04-01
12,Primary Checking,Mortgage/Rent,Expense,-1460.23,2021-04-02
13,Primary Checking,Grocery Market,Expense,-173.14,2021-04-03
14,Primary Checking,Utilities,Expense,-209.17,2021-04-04
15,Primary Checking,Mobile Phone,Expense,-76.23,2021-04-05
16,Primary Checking,Insurance,Expense,-186.01,2021-04-06
17,Primary Checking,Fuel,Expense,-59.68,2021-04-07
18,Primary Checking,Streaming,Expense,-29.05,2021-04-08
19,Primary Checking,Dining,Expense,-57.64,2021-04-09
20,Primary Checking,Savings Transfer,Expense,-264.20,2021-04-10
21,Primary Checking,Payroll,Income,2083.23,2021-07-01
22,Primary Checking,Mortgage/Rent,Expense,-1460.73,2021-07-02
23,Primary Checking,Grocery Market,Expense,-162.07,2021-07-03
24,Primary Checking,Utilities,Expense,-201.99,2021-07-04
25,Primary Checking,Mobile Phone,Expense,-70.90,2021-07-05
26,Primary Checking,Insurance,Expense,-175.29,2021-07-06
27,Primary Checking,Fuel,Expense,-78.33,2021-07-07
28,Primary Checking,Streaming,Expense,-20.74,2021-07-08
29,Primary Checking,Dining,Expense,-70.51,2021-07-09
30,Primary Checking,Savings Transfer,Expense,-245.36,2021-07-10
31,Primary Checking,Payroll,Income,2099.91,2021-10-01
32,Primary Checking,Mortgage/Rent,Expense,-1465.52,2021-10-02
33,Primary Checking,Grocery Market,Expense,-168.45,2021-10-03
34,Primary Checking,Utilities,Expense,-221.83,2021-10-04
35,Primary Checking,Mobile Phone,Expense,-91.10,2021-10-05
36,Primary Checking,Insurance,Expense,-182.60,2021-10-06
37,Primary Checking,Fuel,Expense,-84.19,2021-10-07
38,Primary Checking,Streaming,Expense,-12.95,2021-10-08
39,Primary Checking,Dining,Expense,-72.22,2021-10-09
40,Primary Checking,Savings Transfer,Expense,-245.89,2021-10-10
41,Primary Checking,Payroll,Income,2117.75,2022-01-01
42,Primary Checking,Mortgage/Rent,Expense,-1440.65,2022-01-02
43,Primary Checking,Grocery Market,Expense,-181.47,2022-01-03
44,Primary Checking,Utilities,Expense,-199.72,2022-01-04
45,Primary Checking,Mobile Phone,Expense,-72.22,2022-01-05
46,Primary Checking,Insurance,Expense,-195.02,2022-01-06
47,Primary Checking,Fuel,Expense,-84.88,2022-01-07
48,Primary Checking,Streaming,Expense,-28.91,2022-01-08
49,Primary Checking,Dining,Expense,-66.94,2022-01-09
50,Primary Checking,Savings Transfer,Expense,-238.74,2022-01-10
51,Primary Checking,Payroll,Income,2097.65,2022-04-01
52,Primary Checking,Mortgage/Rent,Expense,-1448.63,2022-04-02
53,Primary Checking,Grocery Market,Expense,-157.93,2022-04-03
54,Primary Checking,Utilities,Expense,-214.05,2022-04-04
55,Primary Checking,Mobile Phone,Expense,-76.53,2022-04-05
56,Primary Checking,Insurance,Expense,-174.40,2022-04-06
57,Primary Checking,Fuel,Expense,-61.32,2022-04-07
58,Primary Checking,Streaming,Expense,-16.16,2022-04-08
59,Primary Checking,Dining,Expense,-49.22,2022-04-09
60,Primary Checking,Savings Transfer,Expense,-260.03,2022-04-10
61,Primary Checking,Payroll,Income,2111.68,2022-07-01
62,Primary Checking,Mortgage/Rent,Expense,-1433.66,2022-07-02
63,Primary Checking,Grocery Market,Expense,-170.56,2022-07-03
64,Primary Checking,Utilities,Expense,-197.15,2022-07-04
65,Primary Checking,Mobile Phone,Expense,-100.98,2022-07-05
66,Primary Checking,Insurance,Expense,-180.82,2022-07-06
67,Primary Checking,Fuel,Expense,-86.08,2022-07-07
68,Primary Checking,Streaming,Expense,-0.50,2022-07-08
69,Primary Checking,Dining,Expense,-66.54,2022-07-09
70,Primary Checking,Savings Transfer,Expense,-264.25,2022-07-10
71,Primary Checking,Payroll,Income,2100.94,2022-10-01
72,Primary Checking,Mortgage/Rent,Expense,-1432.63,2022-10-02
73,Primary Checking,Grocery Market,Expense,-151.23,2022-10-03
74,Primary Checking,Utilities,Expense,-227.44,2022-10-04
75,Primary Checking,Mobile Phone,Expense,-69.99,2022-10-05
76,Primary Checking,Insurance,Expense,-175.67,2022-10-06
77,Primary Checking,Fuel,Expense,-80.80,2022-10-07
78,Primary Checking,Streaming,Expense,-28.13,2022-10-08
